,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1440,0.3081063429514567,0.027669395839595268,0.005314032236735026,4.737809041591924e-06,0.8,50,10,286,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 286, 'subsample': 0.6}",-3833.549789203522,-3651.9262638587275,-3566.1361885991655,-3683.870747220472,111.4834695070174,1789,-320.572256876432,-339.75232188591497,-369.6260413060837,-343.31687335614356,20.184118544136247
1441,0.3577609062194824,0.04125725972126954,0.006042321523030599,0.0005115018339333825,0.8,50,10,286,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 286, 'subsample': 0.8}",-3748.9992805360584,-3660.688135916266,-3438.329863024202,-3616.0057598255094,130.7064338996005,1670,-117.32978062803927,-129.18793359141503,-150.43516181368693,-132.31762534438042,13.69520095296629
1442,0.5002176761627197,0.11461794894490268,0.006475687026977539,0.000254599563924551,0.8,50,10,286,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 286, 'subsample': 1}",-3544.7822715758393,-3380.2753826907065,-3415.68985098829,-3446.9158350849452,70.69618417222527,1291,-72.64700572386903,-91.12927541830446,-104.75578036491089,-89.51068716902813,13.158222351514022
1443,0.34154589970906574,0.028741487362303603,0.005698283513387044,0.00010026936731322556,0.8,50,10,324,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 324, 'subsample': 0.6}",-3873.7548528896236,-3680.122658313006,-3597.631596303918,-3717.169702502182,115.73065229010557,1840,-255.28820360959907,-280.04253660468805,-314.386835820512,-283.2391920115997,24.232568121477776
1444,0.45957104365030926,0.08685904722482965,0.006666024525960286,0.0007064313754740175,0.8,50,10,324,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 324, 'subsample': 0.8}",-3759.2602271121077,-3670.8979412957806,-3447.944285857439,-3626.0341514217757,130.99357121939036,1683,-87.02926825996046,-103.5202450646502,-126.88091286533408,-105.81014206331491,16.34974241665846
1445,0.5233087539672852,0.0681734323562691,0.007414420445760091,0.00015524904654865744,0.8,50,10,324,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 324, 'subsample': 1}",-3550.0941324792084,-3386.951480992772,-3417.2741077001933,-3451.4399070573913,70.84893585553914,1305,-50.27964571239867,-69.21321663906836,-83.0335674675728,-67.50880993967995,13.42593508186568
1446,0.4382185935974121,0.08822520591852592,0.0062143802642822266,0.0002490496329479531,0.8,50,10,362,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 362, 'subsample': 0.6}",-3891.809771558334,-3685.2810765208433,-3616.864893768904,-3731.318580616027,116.87104087596347,1858,-211.68449121573022,-238.04627238303146,-265.73382993043174,-238.48819784306446,22.06776272391173
1447,0.4441219965616862,0.01109507848207232,0.006358544031778972,4.019614371516831e-05,0.8,50,10,362,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 362, 'subsample': 0.8}",-3767.6241555632964,-3678.781201210097,-3451.210018025188,-3632.5384582661936,133.24981567148762,1695,-63.910912213017276,-83.75220257379559,-104.75966898148545,-84.1409279227661,16.678700247722496
1448,0.6218631267547607,0.0821324083098637,0.007377465565999349,0.0003200391696408366,0.8,50,10,362,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 362, 'subsample': 1}",-3554.89180472316,-3390.4645843877574,-3418.497138867857,-3454.617842659591,71.8220329639609,1311,-35.523841164369315,-54.15484724461007,-69.95035146372004,-53.20967995756647,14.07044559228547
1449,0.39875976244608563,0.007989783768911303,0.006222963333129883,0.00013227784208587695,0.8,50,10,400,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 400, 'subsample': 0.6}",-3896.5761181169228,-3700.971587772956,-3622.3325422742123,-3739.9600827213635,115.30383565896854,1873,-172.0408290704586,-203.09999187718913,-228.45032414926447,-201.19704836563741,23.068357538232224
